epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
179,19563.5,0.3092,0.22296,0.91392,0.99853,0.99211,0.995,0.98743,0.15506,0.11302,0.80565,2.59395e-05,2.59395e-05,2.59395e-05
180,19673,0.31313,0.2284,0.91814,0.99853,0.99211,0.995,0.98737,0.15695,0.11368,0.80586,2.35263e-05,2.35263e-05,2.35263e-05
181,19781.6,0.31096,0.22521,0.91771,0.99865,0.99191,0.995,0.98702,0.15853,0.11438,0.80601,2.12333e-05,2.12333e-05,2.12333e-05
182,19890.9,0.30924,0.22648,0.91533,0.99838,0.99191,0.995,0.98694,0.15913,0.11444,0.80598,1.90608e-05,1.90608e-05,1.90608e-05
183,19999.6,0.30704,0.22448,0.91164,0.99858,0.99191,0.995,0.98683,0.16184,0.11593,0.80635,1.70096e-05,1.70096e-05,1.70096e-05
184,20108.9,0.31271,0.22848,0.91362,0.99862,0.99191,0.995,0.98687,0.1602,0.11544,0.80574,1.50801e-05,1.50801e-05,1.50801e-05
185,20218.8,0.30494,0.22164,0.91,0.99869,0.99191,0.995,0.98686,0.1597,0.11543,0.80544,1.32728e-05,1.32728e-05,1.32728e-05
186,20328.9,0.30778,0.22348,0.91371,0.99848,0.99191,0.99499,0.98687,0.15807,0.11467,0.80524,1.15882e-05,1.15882e-05,1.15882e-05
187,20438.2,0.30634,0.22016,0.91403,0.9987,0.99191,0.995,0.98754,0.157,0.11401,0.80505,1.00266e-05,1.00266e-05,1.00266e-05
188,20546.4,0.30621,0.22297,0.9125,0.99871,0.99191,0.99499,0.98683,0.15557,0.11346,0.80482,8.58853e-06,8.58853e-06,8.58853e-06
189,20647.1,0.24499,0.18448,0.88525,0.99865,0.99149,0.995,0.9867,0.15448,0.11304,0.80486,7.27428e-06,7.27428e-06,7.27428e-06
190,20740.2,0.23197,0.17347,0.88029,0.99812,0.99145,0.99499,0.98653,0.15609,0.11442,0.80549,6.08419e-06,6.08419e-06,6.08419e-06
191,20833.2,0.2385,0.1769,0.88425,0.9977,0.9914,0.99499,0.98636,0.15765,0.11512,0.80606,5.01857e-06,5.01857e-06,5.01857e-06
192,20926.4,0.23163,0.17094,0.8807,0.9977,0.99154,0.99499,0.98631,0.1579,0.11589,0.80617,4.97834e-06,4.97834e-06,4.97834e-06
193,21020,0.23239,0.17275,0.8813,0.99787,0.9917,0.99499,0.98632,0.15821,0.11617,0.8061,4.04686e-06,4.04686e-06,4.04686e-06
194,21112.8,0.23162,0.17092,0.88134,0.99791,0.99168,0.99499,0.98626,0.15805,0.11626,0.80585,3.23912e-06,3.23912e-06,3.23912e-06
195,21206.5,0.229,0.16818,0.8769,0.99791,0.99169,0.99499,0.98624,0.15788,0.11588,0.80559,2.5553e-06,2.5553e-06,2.5553e-06
196,21300.6,0.23075,0.17277,0.88246,0.9979,0.9917,0.99499,0.98632,0.15776,0.11584,0.80535,1.99558e-06,1.99558e-06,1.99558e-06
197,21394.4,0.23118,0.16978,0.87794,0.99791,0.99162,0.99499,0.98635,0.1575,0.11588,0.80516,1.56009e-06,1.56009e-06,1.56009e-06
198,21488.2,0.22991,0.16891,0.87479,0.99812,0.99158,0.99499,0.98634,0.15753,0.11574,0.80515,1.24896e-06,1.24896e-06,1.24896e-06
199,21581.7,0.23493,0.17367,0.88339,0.99826,0.99149,0.99499,0.98638,0.15711,0.11566,0.80494,1.24647e-06,1.24647e-06,1.24647e-06
200,21618.2,0.2137,0.15588,0.86891,0.99832,0.99149,0.99499,0.98635,0.15722,0.11567,0.80496,1.06162e-06,1.06162e-06,1.06162e-06
