epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4604.22,0.55996,0.36948,1.02998,0.97535,0.96202,0.98616,0.93934,0.34911,0.30905,0.86936,0.000897983,0.000897983,0.000897983
43,4713.32,0.57278,0.37532,1.03708,0.99769,0.98417,0.99091,0.96315,0.29213,0.24004,0.85737,0.000893134,0.000893134,0.000893134
44,4823.54,0.56483,0.36762,1.0285,0.99852,0.98249,0.99364,0.92891,0.39824,0.23134,0.88255,0.000888185,0.000888185,0.000888185
45,4932.2,0.55223,0.3584,1.02742,0.99795,0.98443,0.99437,0.89436,0.46215,0.24794,0.89871,0.000883139,0.000883139,0.000883139
46,5040.31,0.55,0.36672,1.02073,0.97197,0.9574,0.98709,0.95857,0.29687,0.31049,0.8571,0.000877997,0.000877997,0.000877997
47,5148.9,0.55182,0.35917,1.02428,0.99847,0.98423,0.99457,0.96161,0.31936,0.21435,0.85455,0.00087276,0.00087276,0.00087276
48,5258.89,0.5462,0.36233,1.02,0.98589,0.97426,0.99149,0.94927,0.31189,0.24024,0.8617,0.000867429,0.000867429,0.000867429
49,5368.22,0.52211,0.34696,1.00836,0.99785,0.98236,0.99435,0.96391,0.26863,0.20852,0.8484,0.000862005,0.000862005,0.000862005
50,5476.47,0.53914,0.35894,1.01948,0.99579,0.98272,0.99301,0.94867,0.33315,0.21672,0.85674,0.000856491,0.000856491,0.000856491
51,5585.09,0.53675,0.3548,1.01198,0.996,0.98106,0.98832,0.93995,0.37853,0.22932,0.8767,0.000850887,0.000850887,0.000850887
52,5693.48,0.53315,0.35653,1.01707,0.99678,0.9834,0.99419,0.96525,0.27998,0.20535,0.84884,0.000845194,0.000845194,0.000845194
53,5803.25,0.53043,0.34946,1.0083,0.99735,0.98589,0.99458,0.94945,0.32161,0.22504,0.85911,0.000839415,0.000839415,0.000839415
54,5912.86,0.53027,0.35614,1.01239,0.87874,0.90494,0.96457,0.94009,0.30427,0.48609,0.87471,0.000833551,0.000833551,0.000833551
55,6020.76,0.52362,0.34985,1.01172,0.99727,0.98591,0.99473,0.96688,0.29303,0.20696,0.84981,0.000827603,0.000827603,0.000827603
56,6128.86,0.52029,0.34917,1.01155,0.99664,0.9857,0.99442,0.92367,0.40724,0.22731,0.86824,0.000821572,0.000821572,0.000821572
57,6237.65,0.50858,0.34207,1.00188,0.99433,0.98331,0.99375,0.96884,0.27355,0.21581,0.85314,0.000815461,0.000815461,0.000815461
58,6346.03,0.52543,0.35014,1.01165,0.99286,0.98128,0.99301,0.96668,0.27703,0.21101,0.84361,0.00080927,0.00080927,0.00080927
59,6454.84,0.51723,0.35224,1.00677,0.9979,0.98606,0.9948,0.96499,0.29169,0.22488,0.85428,0.000803002,0.000803002,0.000803002
60,6564.87,0.51658,0.35105,1.01065,0.99811,0.98533,0.99455,0.96909,0.26752,0.2082,0.84914,0.000796658,0.000796658,0.000796658
61,6674.09,0.49984,0.3375,1.00072,0.99664,0.98536,0.99371,0.95093,0.33741,0.21433,0.86975,0.000790238,0.000790238,0.000790238
62,6784.07,0.50077,0.33909,1.00052,0.98125,0.96689,0.98699,0.92791,0.39523,0.27071,0.88703,0.000783746,0.000783746,0.000783746
63,6893.07,0.50889,0.34473,1.00423,0.99674,0.98672,0.99478,0.96221,0.30121,0.21015,0.85079,0.000777183,0.000777183,0.000777183
64,7003.46,0.50357,0.34007,1.00221,0.99811,0.98724,0.99489,0.96691,0.29279,0.1992,0.84917,0.00077055,0.00077055,0.00077055
65,7111.88,0.50052,0.33281,0.99905,0.99796,0.98796,0.99484,0.95392,0.33002,0.20928,0.85706,0.000763849,0.000763849,0.000763849
66,7221.06,0.50093,0.34037,0.99861,0.99189,0.97821,0.99295,0.95732,0.31098,0.22582,0.85344,0.000757082,0.000757082,0.000757082
67,7330.35,0.48793,0.33335,0.98941,0.99704,0.98568,0.99481,0.9683,0.2933,0.19177,0.84337,0.00075025,0.00075025,0.00075025
68,7439.14,0.4969,0.33753,0.99526,0.99523,0.98547,0.99465,0.96507,0.29798,0.22381,0.85217,0.000743355,0.000743355,0.000743355
69,7549.27,0.49441,0.33414,0.99868,0.99844,0.98796,0.99491,0.96533,0.31486,0.19666,0.84381,0.000736399,0.000736399,0.000736399
70,7657.84,0.49072,0.33348,0.99495,0.99609,0.98672,0.99484,0.9688,0.27003,0.19104,0.83982,0.000729384,0.000729384,0.000729384
71,7765.5,0.48978,0.33555,0.99207,0.99829,0.98277,0.99463,0.96967,0.29234,0.20272,0.84292,0.000722311,0.000722311,0.000722311
72,7875.55,0.48645,0.33146,0.9896,0.99763,0.98589,0.99451,0.9731,0.25433,0.19102,0.83799,0.000715183,0.000715183,0.000715183
73,7983.36,0.4844,0.32716,0.9917,0.99874,0.98612,0.9948,0.96399,0.30744,0.19907,0.84617,0.000708,0.000708,0.000708
74,8092.55,0.47571,0.32205,0.98811,0.9969,0.98838,0.9949,0.96834,0.27017,0.191,0.83884,0.000700765,0.000700765,0.000700765
75,8201.78,0.4761,0.32729,0.98921,0.99592,0.98692,0.99488,0.96683,0.27709,0.1975,0.8435,0.000693479,0.000693479,0.000693479
76,8311.36,0.47861,0.32851,0.99012,0.9967,0.98755,0.99471,0.97067,0.26025,0.18963,0.83888,0.000686145,0.000686145,0.000686145
77,8421.31,0.46906,0.31947,0.98185,0.99715,0.98277,0.99387,0.96937,0.2513,0.18664,0.83622,0.000678765,0.000678765,0.000678765
78,8533.32,0.46712,0.31986,0.98724,0.99748,0.98627,0.99477,0.97305,0.26057,0.17867,0.83556,0.000671339,0.000671339,0.000671339
79,8643.25,0.47984,0.32382,0.99116,0.99696,0.98734,0.9948,0.96243,0.29003,0.19803,0.84083,0.00066387,0.00066387,0.00066387
80,8753.45,0.47169,0.32289,0.98036,0.99874,0.98725,0.99492,0.96834,0.28106,0.19325,0.83946,0.000656361,0.000656361,0.000656361
81,8863.94,0.46167,0.31553,0.98128,0.99733,0.98692,0.99477,0.97554,0.26708,0.1894,0.83747,0.000648812,0.000648812,0.000648812
82,8973.96,0.46273,0.32098,0.98075,0.99644,0.98785,0.9949,0.97227,0.2617,0.18643,0.83646,0.000641225,0.000641225,0.000641225
83,9082.8,0.47197,0.32436,0.98642,0.99819,0.98609,0.99477,0.97447,0.25528,0.18228,0.83087,0.000633604,0.000633604,0.000633604
